TENTATIVE LIST OF INSTITUTES AND INTAKE 2026-27
1. नवीन पाठ्यक्रमों/संस्थाओं की जानकारी, विश्‍वविद्यालय की संबद्धता/ए.एफ़.आर.सी. द्वारा प्राप्त फीस निर्धारण के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
2. प्रवेश क्षमता में वृद्धि की जानकारी, विश्‍वविद्यालय की संबद्धता के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
3. संस्थाएं पॉर्टल पर प्रदर्शित जानकारी का अवलोकन कर जानकारी में किसी भी प्रकार की त्रुटि को विभाग के संज्ञान में लाकर यथा संशोधन करवाना सुनिश्चित करें|
S. No.	College ID	Institute Name	Branch	Intake	10% in BE and BPHARM of Last Year Intake	First year vacancy of 2025	Institute Type	AICTE Code	Remark	AFRC/Govt. Fee Status	University
1	0002	Acropolis Institute of Technology & Research, Indore (2005)	Civil Engineering	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
2	0002	Acropolis Institute of Technology & Research, Indore (2005)	Computer Science and Engineering	24	24	 	PRIVATE	1-4304071	 	 	RGPV,BHOPAL
3	0002	Acropolis Institute of Technology & Research, Indore (2005)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
4	0002	Acropolis Institute of Technology & Research, Indore (2005)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
5	0002	Acropolis Institute of Technology & Research, Indore (2005)	Computer Science and Engineering-Indian language (Hindi)	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
6	0002	Acropolis Institute of Technology & Research, Indore (2005)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	12	12	 	Private	1-4304071	 	 	RGPV,BHOPAL
7	0002	Acropolis Institute of Technology & Research, Indore (2005)	Computer Science and Information Technology	12	12	 	PRIVATE	1-4304071	 	 	RGPV,BHOPAL
8	0002	Acropolis Institute of Technology & Research, Indore (2005)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-4304071	 	 	RGPV,BHOPAL
9	0002	Acropolis Institute of Technology & Research, Indore (2005)	Electronics and Communication (Advanced Communication Technology)	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
10	0002	Acropolis Institute of Technology & Research, Indore (2005)	ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY)	6	6	 	Private	1-4304071	 	 	RGPV,BHOPAL
