"DIRECTORATEOFTECHNICALEDUCATION,MADHYAPRADESH",,,,,,,,,,,,,,
LATERALENTRYBTECH,,,,,,,,,,,,,,
OPENINGCLOSINGRANK-FIRSTROUND2026,,,,,,,,,,,,,,
BASEDONQUALIFYINGEXAM DATE:06.08.2026,,,,,,,,,,,,,,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
1,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSE,2088,2909,69.9,65,OBC/X/OP,,4,
2,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,MECH,3134,3134,62.96,62.96,OBC/X/OP,,1,
3,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSE,3481,3481,55.3,55.3,SC/X/OP,,1,
4,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,EC,112,112,85.03,85.03,UR/X/OP,,1,
5,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSE,528,1653,78.9,72,UR/X/OP,,12,
6,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CIVIL,1371,1774,73.3,71.5,UR/X/OP,,2,
7,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,IT,2376,2435,68.4,68.1,UR/X/OP,,2,
8,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,MECH,1594,2774,72.3,66.1,UR/X/OP,,3,
9,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSIT,2556,3140,67.4,62.9,UR/X/OP,,2,
10,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSEIML,694,3210,77.4,62.3,UR/X/OP,,5,
11,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSECS,1690,3341,71.8,60.5,UR/X/OP,,3,
12,"AcropolisInstituteofTechnology&Research,Indore(2005)",,Private,N,,CSE,1815,2541,71.3,67.5,"UR/X/OP(After
Conversion)",,7,
13,"ADINAINSTITUTEOFSCIENCE&TECHNOLOGY,SAGAR(2009)",,Private,N,,ELECTELEX,962,962,75.6,75.6,UR/X/OP,,1,
